title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Star Wars: The Force Awakens,,Buena Vista,"December 18, 2015",Sci-Fi Fantasy,2 hrs. 16 min.,$200 million,PG-13,FOREIGN TOTAL,-,12/16/15,"$281,000,000",26.5%,"$1,060,700,000",1/24/16,Hungary,Forum Films,12/18/15,"$1,508,298",24.4%,"$6,181,662",1/24/16
Jurassic World,"$652,270,625",Universal,"June 12, 2015",Sci-Fi Horror,2 hrs. 4 min.,$150 million,PG-13,FOREIGN TOTAL,-,6/11/15,"$316,102,740",31.1%,"$1,016,714,301",11/11/15,Hungary,UIP,6/11/15,"$604,551",29.5%,"$2,051,915",7/5/15
Avengers: Age of Ultron,"$459,005,868",Buena Vista,"May 1, 2015",Action / Adventure,2 hrs. 21 min.,$250 million,PG-13,FOREIGN TOTAL,-,4/22/15,"$201,200,000",21.3%,"$946,029,899",N/A,Hungary,Forum Films,5/7/15,"$807,040",40.7%,"$1,980,532",6/21/15
Inside Out,"$356,461,711",Buena Vista,"June 19, 2015",Animation,1 hrs. 34 min.,$175 million,PG,FOREIGN TOTAL,-,6/17/15,n/a,-,"$499,668,421",12/29/15,Hungary,Forum Films,6/25/15,"$296,617",24.3%,"$1,218,401",9/27/15
Furious 7,"$353,007,020",Universal,"April 3, 2015",Action,2 hrs. 17 min.,$190 million,PG-13,FOREIGN TOTAL,-,4/1/15,"$250,538,637",21.6%,"$1,162,040,651",10/28/15,Hungary,UIP,4/2/15,"$661,897",33.8%,"$1,958,035",5/24/15
Minions,"$336,045,770",Universal,"July 10, 2015",Animation,1 hrs. 31 min.,$74 million,PG,FOREIGN TOTAL,-,6/19/15,"$12,572,809",1.5%,"$821,229,247",11/8/15,Hungary,UIP,7/9/15,-,-,"$3,493,481",10/11/15
The Hunger Games: Mockingjay - Part 2,,Lionsgate,"November 20, 2015",Action / Adventure,2 hrs. 17 min.,$160 million,PG-13,FOREIGN TOTAL,-,11/20/15,"$144,492,026",39%,"$370,861,252",1/24/16,Hungary,Forum,11/19/15,"$519,856",41.8%,"$1,243,577",12/27/15
The Martian,,Fox,"October 2, 2015",Sci-Fi,2 hrs. 21 min.,$108 million,PG-13,FOREIGN TOTAL,-,10/2/15,"$44,621,708",12%,"$370,553,098",1/12/16,Hungary,InterCom,10/1/15,"$357,846",24.9%,"$1,438,744",12/6/15
Cinderella,"$201,151,353",Buena Vista,"March 13, 2015",Fantasy,1 hrs. 52 min.,$95 million,PG,FOREIGN TOTAL,-,3/12/15,n/a,-,"$341,535,384",N/A,Hungary,Forum Films,3/19/15,"$121,131",23.4%,"$518,592",5/10/15
Spectre,,Sony / Columbia,"November 6, 2015",Action,2 hrs. 28 min.,$245 million,PG-13,FOREIGN TOTAL,-,10/26/15,"$30,572,993",4.5%,"$678,200,000",1/24/16,Hungary,Forum,11/5/15,"$474,075",35.5%,"$1,333,699",12/20/15
Mission: Impossible - Rogue Nation,"$195,042,377",Paramount,"July 31, 2015",Action,2 hrs. 10 min.,$150 million,PG-13,FOREIGN TOTAL,-,7/24/15,"$65,000,000",13.3%,"$487,287,762",11/17/15,Hungary,-,8/6/15,-,-,"$948,600",9/27/15
Pitch Perfect 2,"$184,296,230",Universal,"May 15, 2015",Comedy,1 hrs. 55 min.,$29 million,PG-13,FOREIGN TOTAL,-,5/7/15,"$9,193,687",8.9%,"$102,847,849",11/11/15,Hungary,UIP,5/21/15,"$99,481",44.7%,"$222,570",6/7/15
Home,"$177,397,510",Fox,"March 27, 2015",Animation,1 hrs. 34 min.,$135 million,PG,FOREIGN TOTAL,-,3/18/15,n/a,-,"$208,644,097",11/3/15,Hungary,InterCom,3/26/15,"$46,959",22.9%,"$205,218",4/19/15
Hotel Transylvania 2,,Sony / Columbia,"September 25, 2015",Animation,1 hrs. 29 min.,$80 million,PG,FOREIGN TOTAL,-,9/24/15,n/a,-,"$298,584,493",1/24/16,Hungary,InterCom,10/8/15,"$356,643",27.9%,"$1,277,507",12/13/15
Fifty Shades of Grey,"$166,167,230",Universal,"February 13, 2015",Romance,2 hrs. 5 min.,$40 million,R,FOREIGN TOTAL,-,2/11/15,"$157,188,968",38.9%,"$404,322,128",N/A,Hungary,UIP,2/12/15,"$909,724",54.4%,"$1,672,429",3/15/15
The SpongeBob Movie: Sponge Out of Water,"$162,994,032",Paramount,"February 6, 2015",Animation,1 hrs. 33 min.,$74 million,PG,FOREIGN TOTAL,-,1/28/15,n/a,-,"$160,442,506",12/13/15,Hungary,UIP,2/12/15,"$282,179",26.6%,"$1,059,284",4/12/15
San Andreas,"$155,190,832",Warner Bros.,"May 29, 2015",Action,1 hrs. 54 min.,$110 million,PG-13,FOREIGN TOTAL,-,5/27/15,n/a,-,"$318,600,000",12/10/15,Hungary,InterCom,6/4/15,"$91,956",31.5%,"$291,601",7/5/15
Mad Max: Fury Road,"$153,636,354",Warner Bros.,"May 15, 2015",Sci-Fi Action,2 hrs. 0 min.,$150 million,R,FOREIGN TOTAL,-,5/14/15,n/a,-,"$222,200,000",N/A,Hungary,InterCom,5/21/15,"$327,983",39.9%,"$822,978",6/28/15
Daddy's Home,,Paramount,"December 25, 2015",Comedy,1 hrs. 36 min.,N/A,PG-13,FOREIGN TOTAL,-,12/25/15,n/a,-,"$59,300,000",1/24/16,Hungary,UIP,1/7/16,"$210,856",39.4%,"$535,111",1/24/16
The Divergent Series: Insurgent,"$130,179,072",Lionsgate/Summit,"March 20, 2015",Action / Adventure,1 hrs. 59 min.,$110 million,PG-13,FOREIGN TOTAL,-,3/18/15,n/a,-,"$167,097,257",N/A,Hungary,Big Bang,3/19/15,"$220,746",38.3%,"$576,970",4/26/15
The Peanuts Movie,,Fox,"November 6, 2015",Animation,1 hrs. 33 min.,$99 million,G,FOREIGN TOTAL,-,11/6/15,"$4,555,457",4.2%,"$108,900,285",1/24/16,Hungary,InterCom,12/24/15,"$51,486",25.4%,"$202,919",1/10/16
Kingsman: The Secret Service,"$128,261,724",Fox,"February 13, 2015",Action / Adventure,2 hrs. 9 min.,$81 million,R,FOREIGN TOTAL,-,1/30/15,n/a,-,"$286,089,822",11/11/15,Hungary,InterCom,2/12/15,"$143,045",24.9%,"$573,720",3/22/15
The Good Dinosaur,,Buena Vista,"November 25, 2015",Animation,1 hrs. 40 min.,N/A,PG,FOREIGN TOTAL,-,11/27/15,"$28,700,000",19.3%,"$148,700,000",1/10/16,Hungary,Forum Films,12/3/15,"$92,237",21%,"$439,851",1/10/16
The Revenant,,Fox,"December 25, 2015",Action / Adventure,2 hrs. 31 min.,$135 million,R,FOREIGN TOTAL,-,1/8/16,"$20,487,466",19.6%,"$104,279,270",1/24/16,Hungary,InterCom,1/14/16,"$305,694",50.5%,"$605,674",1/24/16
Spy,"$110,825,712",Fox,"June 5, 2015",Comedy,2 hrs. 0 min.,$65 million,R,FOREIGN TOTAL,-,N/A,n/a,-,"$124,840,507",11/3/15,Hungary,InterCom,5/28/15,"$41,365",4.5%,"$911,718",7/5/15
Trainwreck,"$110,212,700",Universal,"July 17, 2015",Comedy,2 hrs. 5 min.,$35 million,R,FOREIGN TOTAL,-,7/23/15,n/a,-,"$29,296,198",11/22/15,Hungary,-,8/27/15,-,-,"$103,130",9/6/15
Creed,,Warner Bros.,"November 25, 2015",Drama,2 hrs. 13 min.,$35 million,PG-13,FOREIGN TOTAL,-,11/27/15,"$2,500,000",6%,"$41,600,000",1/24/16,Hungary,Forum Films,1/21/16,"$34,626",100%,"$34,626",1/24/16
Tomorrowland,"$93,436,322",Buena Vista,"May 22, 2015",Sci-Fi,2 hrs. 10 min.,$190 million,PG,FOREIGN TOTAL,-,5/20/15,n/a,-,"$115,599,346",11/10/15,Hungary,Forum Films,5/28/15,"$94,363",51.1%,"$184,818",6/14/15
Terminator: Genisys,"$89,760,956",Paramount,"July 1, 2015",Action,2 hrs. 6 min.,$155 million,PG-13,FOREIGN TOTAL,-,6/24/15,"$8,300,000",2.4%,"$350,842,581",N/A,Hungary,UIP,7/2/15,"$273,217",100%,"$273,168",7/5/15
Taken 3,"$89,256,424",Fox,"January 9, 2015",Action,1 hrs. 49 min.,$48 million,PG-13,FOREIGN TOTAL,-,1/1/15,n/a,-,"$237,222,717",11/3/15,Hungary,-,1/8/15,"$538,254",40.3%,"$1,335,710",2/15/15
Alvin and the Chipmunks: The Road Chip,,Fox,"December 18, 2015",Family Comedy,1 hrs. 26 min.,N/A,PG,FOREIGN TOTAL,-,12/25/15,"$8,373,828",15.2%,"$54,998,274",1/24/16,Hungary,InterCom,1/21/16,"$111,703",100%,"$111,703",1/24/16
Maze Runner: The Scorch Trials,"$81,697,192",Fox,"September 18, 2015",Action / Adventure,2 hrs. 11 min.,$61 million,PG-13,FOREIGN TOTAL,-,9/10/15,"$26,800,000",11.6%,"$230,627,911",1/12/16,Hungary,InterCom,9/17/15,"$225,822",33.2%,"$679,949",10/18/15
Goosebumps,,Sony / Columbia,"October 16, 2015",Horror Comedy,1 hrs. 43 min.,$58 million,PG,FOREIGN TOTAL,-,10/16/15,n/a,-,"$52,000,000",1/24/16,Hungary,InterCom,10/29/15,"$65,342",48.9%,"$133,692",11/15/15
Paddington,"$76,271,832",Weinstein / Dimension,"January 16, 2015",Family,1 hrs. 35 min.,$55 million,PG,FOREIGN TOTAL,-,11/28/14,n/a,-,"$183,317,852",6/7/15,Hungary,A,12/11/14,"$54,708",18.1%,"$301,691",1/4/15
The Intern,"$75,764,672",Warner Bros.,"September 25, 2015",Comedy,2 hrs. 1 min.,$35 million,PG-13,FOREIGN TOTAL,-,9/24/15,"$12,500,000",10.6%,"$118,300,000",12/30/15,Hungary,InterCom,9/24/15,"$159,775",20.9%,"$765,922",12/6/15
Bridge of Spies,,Buena Vista,"October 16, 2015",Thriller,2 hrs. 20 min.,$40 million,PG-13,FOREIGN TOTAL,-,10/16/15,n/a,-,"$89,373,026",1/24/16,Hungary,InterCom,11/26/15,"$141,423",25.9%,"$545,110",1/3/16
Paul Blart: Mall Cop 2,"$71,038,190",Sony / Columbia,"April 17, 2015",Comedy,1 hrs. 34 min.,$30 million,PG,FOREIGN TOTAL,-,4/9/15,n/a,-,"$36,550,035",1/17/16,Hungary,InterCom,4/16/15,"$68,024",30.3%,"$224,214",5/17/15
Magic Mike XXL,"$66,013,057",Warner Bros.,"July 1, 2015",Comedy / Drama,1 hrs. 55 min.,$14.8 million,R,FOREIGN TOTAL,-,7/1/15,n/a,-,"$56,500,000",N/A,Hungary,InterCom,7/2/15,"$78,963",100%,"$78,963",7/5/15
The Wedding Ringer,"$64,460,211",Sony / Screen Gems,"January 16, 2015",Comedy,1 hrs. 41 min.,$23 million,R,FOREIGN TOTAL,-,1/22/15,n/a,-,"$15,339,669",5/10/15,Hungary,InterCom,3/26/15,"$65,593",19.3%,"$340,472",5/10/15
Black Mass,"$62,575,678",Warner Bros.,"September 18, 2015",Crime Drama,2 hrs. 2 min.,$53 million,R,FOREIGN TOTAL,-,9/18/15,n/a,-,"$32,500,000",12/30/15,Hungary,InterCom,11/12/15,"$62,004",42.8%,"$144,708",11/29/15
Vacation,"$58,884,188",Warner Bros. (New Line),"July 29, 2015",Comedy,1 hrs. 39 min.,$31 million,R,FOREIGN TOTAL,-,7/30/15,n/a,-,"$45,800,000",N/A,Hungary,InterCom,8/27/15,-,-,"$702,477",10/11/15
Joy,,Fox,"December 25, 2015",Comedy / Drama,2 hrs. 4 min.,$60 million,PG-13,FOREIGN TOTAL,-,12/25/15,"$2,004,258",5.6%,"$36,059,732",1/24/16,Hungary,InterCom,12/31/15,"$68,310",52.6%,"$129,855",1/10/16
Focus,"$53,862,963",Warner Bros.,"February 27, 2015",Comedy,1 hrs. 44 min.,$50.1 million,R,FOREIGN TOTAL,-,2/25/15,n/a,-,"$105,200,000",N/A,Hungary,InterCom,2/26/15,"$142,722",419.9%,"$33,989",3/29/15
Southpaw,"$52,421,953",Weinstein Company,"July 24, 2015",Drama,2 hrs. 3 min.,$30 million,R,FOREIGN TOTAL,-,7/22/15,n/a,-,"$39,185,058",12/13/15,Hungary,Forum,10/15/15,"$20,612",100%,"$20,612",10/18/15
Insidious Chapter 3,"$52,218,558",Focus Features,"June 5, 2015",Horror,1 hrs. 37 min.,$10 million,PG-13,FOREIGN TOTAL,-,6/2/15,n/a,-,"$60,765,331",1/10/16,Hungary,InterCom,6/18/15,"$27,788",100%,"$27,788",6/21/15
The Hateful Eight,,Weinstein Company,"December 25, 2015",Western,2 hrs. 47 min.,$44 million,R,FOREIGN TOTAL,-,1/6/16,"$16,129,459",31.6%,"$51,007,561",1/24/16,Hungary,Forum Films,1/7/16,"$268,774",45.8%,"$586,650",1/24/16
Poltergeist,"$47,425,125",Fox,"May 22, 2015",Horror,1 hrs. 33 min.,$35 million,PG-13,FOREIGN TOTAL,-,N/A,n/a,-,"$48,012,869",11/3/15,Hungary,Forum Films,5/28/15,"$55,467",40.9%,"$135,617",6/14/15
Jupiter Ascending,"$47,387,723",Warner Bros.,"February 6, 2015",Sci-Fi,2 hrs. 7 min.,$176 million,PG-13,FOREIGN TOTAL,-,2/4/15,n/a,-,"$136,500,000",8/25/15,Hungary,InterCom,2/5/15,"$217,641",39.9%,"$545,271",3/1/15
Sicario,"$46,889,293",Lionsgate,"September 18, 2015",Action Drama,2 hrs. 1 min.,$30 million,R,FOREIGN TOTAL,-,9/17/15,n/a,-,"$33,664,532",11/15/15,Hungary,-,10/22/15,"$76,825",41%,"$187,339",11/8/15
